crate	version	spdx_license	registry_source	crate_sha256	vendor_directory	legal_files	legal_provenance
aho-corasick	1.1.4	Unlicense OR MIT	registry+https://github.com/rust-lang/crates.io-index	ddd31a130427c27518df266943a5308ed92d4b226cc639f5a8f1002816174301	aho-corasick-1.1.4	COPYING;LICENSE-MIT;UNLICENSE	crate:aho-corasick-1.1.4/COPYING;crate:aho-corasick-1.1.4/LICENSE-MIT;crate:aho-corasick-1.1.4/UNLICENSE
bitflags	2.13.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	b588b76d00fde79687d7646a9b5bdf3cc0f655e0bbd080335a95d7e96f3587da	bitflags-2.13.1	LICENSE-APACHE;LICENSE-MIT	crate:bitflags-2.13.1/LICENSE-APACHE;crate:bitflags-2.13.1/LICENSE-MIT
cfg-if	1.0.4	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	9330f8b2ff13f34540b44e946ef35111825727b38d33286ef986142615121801	cfg-if-1.0.4	LICENSE-APACHE;LICENSE-MIT	crate:cfg-if-1.0.4/LICENSE-APACHE;crate:cfg-if-1.0.4/LICENSE-MIT
convert_case	0.6.0	MIT	registry+https://github.com/rust-lang/crates.io-index	ec182b0ca2f35d8fc196cf3404988fd8b8c739a4d270ff118a398feb0cbec1ca	convert_case-0.6.0	LICENSE	crate:convert_case-0.6.0/LICENSE
ctor	0.2.9	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index	32a2785755761f3ddc1492979ce1e48d2c00d09311c39e4466429188f3dd6501	ctor-0.2.9	LICENSE-APACHE;LICENSE-MIT	crate:ctor-0.2.9/LICENSE-APACHE;crate:ctor-0.2.9/LICENSE-MIT
form_urlencoded	1.2.2	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	cb4cb245038516f5f85277875cdaa4f7d2c9a0fa0468de06ed190163b1581fcf	form_urlencoded-1.2.2	LICENSE-APACHE;LICENSE-MIT	crate:form_urlencoded-1.2.2/LICENSE-APACHE;crate:form_urlencoded-1.2.2/LICENSE-MIT
idna	0.4.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	7d20d6b07bfbc108882d88ed8e37d39636dcc260e15e30c45e6ba089610b917c	idna-0.4.0	LICENSE-APACHE;LICENSE-MIT	crate:idna-0.4.0/LICENSE-APACHE;crate:idna-0.4.0/LICENSE-MIT
iptools	0.4.1	MIT	registry+https://github.com/rust-lang/crates.io-index	d423b27a03e1931bcf0a52bc6c554f0b48573f2f51688c92ac6cddf08494943c	iptools-0.4.1	LICENSE	crate:iptools-0.4.1/LICENSE
lazy-regex-proc_macros	3.6.0	MIT	registry+https://github.com/rust-lang/crates.io-index	4de9c1e1439d8b7b3061b2d209809f447ca33241733d9a3c01eabf2dc8d94358	lazy-regex-proc_macros-3.6.0	LICENSE.reviewed-upstream	https://raw.githubusercontent.com/Canop/lazy-regex/692c46e624ad1e37d9587a99ca4ca12dae1bad26/LICENSE
lazy-regex	3.6.0	MIT	registry+https://github.com/rust-lang/crates.io-index	6bae91019476d3ec7147de9aa291cadb6d870abf2f3015d2da73a90325ac1496	lazy-regex-3.6.0	LICENSE	crate:lazy-regex-3.6.0/LICENSE
libloading	0.8.9	ISC	registry+https://github.com/rust-lang/crates.io-index	d7c4b02199fee7c5d21a5ae7d8cfa79a6ef5bb2fc834d6e9058e89c825efdc55	libloading-0.8.9	LICENSE	crate:libloading-0.8.9/LICENSE
log	0.4.33	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	0ceec5bc11778974d1bcb055b18002eba7f4b3518b6a0081b3af5f21666da9ad	log-0.4.33	LICENSE-APACHE;LICENSE-MIT	crate:log-0.4.33/LICENSE-APACHE;crate:log-0.4.33/LICENSE-MIT
memchr	2.8.3	Unlicense OR MIT	registry+https://github.com/rust-lang/crates.io-index	cf8baf1c55e62ffcace7a9f06f4bd9cd3f0c4beb022d3b367256b91b87513d98	memchr-2.8.3	COPYING;LICENSE-MIT;UNLICENSE	crate:memchr-2.8.3/COPYING;crate:memchr-2.8.3/LICENSE-MIT;crate:memchr-2.8.3/UNLICENSE
napi-build	2.1.0	MIT	registry+https://github.com/rust-lang/crates.io-index	d4b4532cf86bfef556348ac65e561e3123879f0e7566cca6d43a6ff5326f13df	napi-build-2.1.0	LICENSE.reviewed-upstream	https://raw.githubusercontent.com/napi-rs/napi-rs/688ee04247fa17fab9a644c4cf0509b0e63853db/LICENSE
napi-derive-backend	1.0.75	MIT	registry+https://github.com/rust-lang/crates.io-index	1639aaa9eeb76e91c6ae66da8ce3e89e921cd3885e99ec85f4abacae72fc91bf	napi-derive-backend-1.0.75	LICENSE.reviewed-upstream	https://raw.githubusercontent.com/napi-rs/napi-rs/a312b7eb4e12d3e0a3e9770429ee05c333947a39/LICENSE
napi-derive	2.16.13	MIT	registry+https://github.com/rust-lang/crates.io-index	7cbe2585d8ac223f7d34f13701434b9d5f4eb9c332cccce8dee57ea18ab8ab0c	napi-derive-2.16.13	LICENSE.reviewed-upstream	https://raw.githubusercontent.com/napi-rs/napi-rs/a312b7eb4e12d3e0a3e9770429ee05c333947a39/LICENSE
napi-sys	2.4.0	MIT	registry+https://github.com/rust-lang/crates.io-index	427802e8ec3a734331fec1035594a210ce1ff4dc5bc1950530920ab717964ea3	napi-sys-2.4.0	LICENSE.reviewed-upstream	https://raw.githubusercontent.com/napi-rs/napi-rs/f1b8ab5e645e674df33c796ef75aa278cd1b4a31/LICENSE
napi	2.16.17	MIT	registry+https://github.com/rust-lang/crates.io-index	55740c4ae1d8696773c78fdafd5d0e5fe9bc9f1b071c7ba493ba5c413a9184f3	napi-2.16.17	LICENSE.reviewed-upstream	https://raw.githubusercontent.com/napi-rs/napi-rs/f2178312d0e3e07beecc19836b91716a229107d3/LICENSE
once_cell	1.21.4	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	9f7c3e4beb33f85d45ae3e3a1792185706c8e16d043238c593331cc7cd313b50	once_cell-1.21.4	LICENSE-APACHE;LICENSE-MIT	crate:once_cell-1.21.4/LICENSE-APACHE;crate:once_cell-1.21.4/LICENSE-MIT
percent-encoding	2.3.2	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	9b4f627cb1b25917193a259e49bdad08f671f8d9708acfd5fe0a8c1455d87220	percent-encoding-2.3.2	LICENSE-APACHE;LICENSE-MIT	crate:percent-encoding-2.3.2/LICENSE-APACHE;crate:percent-encoding-2.3.2/LICENSE-MIT
proc-macro2	1.0.107	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	985e7ec9bb745e6ce6535b544d84d6cd6f7ad8bd711c398938ae983b91a766d9	proc-macro2-1.0.107	LICENSE-APACHE;LICENSE-MIT	crate:proc-macro2-1.0.107/LICENSE-APACHE;crate:proc-macro2-1.0.107/LICENSE-MIT
quote	1.0.47	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	1fbf4db142a473a8d80c26bbf18454ed458bf8d26c8219c331daecfdbd079001	quote-1.0.47	LICENSE-APACHE;LICENSE-MIT	crate:quote-1.0.47/LICENSE-APACHE;crate:quote-1.0.47/LICENSE-MIT
regex-automata	0.4.16	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	8fcfdb36bda0c880c5931cdc7a2bcdc8ba4556847b9d912bca70bc94708711ad	regex-automata-0.4.16	LICENSE-APACHE;LICENSE-MIT	crate:regex-automata-0.4.16/LICENSE-APACHE;crate:regex-automata-0.4.16/LICENSE-MIT
